date,high,low,close,mean,vol,Oms,open
2015-12-29,"1452,95","1435,12","1452,95",,1,,"1434,06"
2015-12-28,"1451,71","1432,55","1434,06",,1,,"1446,69"
2015-12-23,"1446,69","1415,01","1446,69",,1,,"1413,74"
2015-12-22,"1428,45","1410,24","1413,74",,1,,"1419,13"
2015-12-21,"1443,80","1419,13","1419,13",,1,,"1422,63"
2015-12-18,"1435,79","1415,12","1422,63",,1,,"1438,32"
2015-12-17,"1461,49","1429,72","1438,32",,1,,"1428,02"
2015-12-16,"1439,50","1418,87","1428,02",,1,,"1426,47"
2015-12-15,"1427,11","1389,26","1426,47",,1,,"1389,26"
2015-12-14,"1418,66","1388,78","1389,26",,1,,"1401,14"
2015-12-11,"1433,38","1399,90","1401,14",,1,,"1433,41"
2015-12-10,"1444,67","1427,59","1433,41",,1,,"1440,94"
2015-12-09,"1460,85","1428,62","1440,94",,1,,"1454,99"
2015-12-08,"1494,06","1450,44","1454,99",,1,,"1494,52"
2015-12-07,"1504,61","1489,62","1494,52",,1,,"1485,32"
2015-12-04,"1501,98","1475,79","1485,32",,1,,"1502,41"
2015-12-03,"1544,94","1502,41","1502,41",,1,,"1533,87"
2015-12-02,"1539,54","1521,64","1533,87",,1,,"1530,52"
2015-12-01,"1546,53","1527,45","1530,52",,1,,"1536,05"
2015-11-30,"1542,12","1515,33","1536,05",,1,,"1522,00"
2015-11-27,"1527,62","1511,62","1522,00",,1,,"1522,28"
2015-11-26,"1524,62","1502,30","1522,28",,1,,"1506,52"
2015-11-25,"1508,38","1487,95","1506,52",,1,,"1488,89"
2015-11-24,"1515,80","1486,74","1488,89",,1,,"1515,80"
2015-11-23,"1521,87","1509,27","1515,80",,1,,"1521,87"
2015-11-20,"1525,48","1505,94","1521,87",,1,,"1512,77"
2015-11-19,"1530,91","1507,83","1512,77",,1,,"1514,18"
2015-11-18,"1515,21","1504,38","1514,18",,1,,"1513,93"
2015-11-17,"1514,33","1479,24","1513,93",,1,,"1479,04"
2015-11-16,"1485,68","1458,52","1479,04",,1,,"1476,21"
2015-11-13,"1485,56","1469,00","1476,21",,1,,"1488,40"
2015-11-12,"1512,61","1487,96","1488,40",,1,,"1511,46"
2015-11-11,"1518,30","1503,16","1511,46",,1,,"1499,40"
2015-11-10,"1517,85","1488,19","1499,40",,1,,"1511,55"
2015-11-09,"1537,25","1511,55","1511,55",,1,,"1526,49"
2015-11-06,"1536,58","1516,54","1526,49",,1,,"1523,25"
2015-11-05,"1535,05","1521,13","1523,25",,1,,"1529,43"
2015-11-04,"1533,95","1512,89","1529,43",,1,,"1507,45"
2015-11-03,"1508,68","1496,13","1507,45",,1,,"1502,44"
2015-11-02,"1509,70","1480,29","1502,44",,1,,"1499,23"
2015-10-30,"1508,45","1496,51","1499,23",,1,,"1495,86"
2015-10-29,"1505,98","1484,17","1495,86",,1,,"1499,64"
2015-10-28,"1503,22","1482,03","1499,64",,1,,"1487,03"
2015-10-27,"1504,08","1485,72","1487,03",,1,,"1506,16"
2015-10-26,"1515,23","1499,29","1506,16",,1,,"1506,59"
2015-10-23,"1514,85","1486,10","1506,59",,1,,"1484,47"
2015-10-22,"1485,66","1434,72","1484,47",,1,,"1452,09"
2015-10-21,"1463,14","1443,16","1452,09",,1,,"1466,67"
2015-10-20,"1471,82","1449,55","1466,67",,1,,"1458,00"
2015-10-19,"1466,74","1452,21","1458,00",,1,,"1452,36"
2015-10-16,"1469,71","1444,88","1452,36",,1,,"1453,87"
2015-10-15,"1453,87","1441,76","1453,87",,1,,"1442,75"
2015-10-14,"1455,06","1441,29","1442,75",,1,,"1460,11"
2015-10-13,"1483,47","1452,78","1460,11",,1,,"1481,43"
2015-10-12,"1504,60","1472,52","1481,43",,1,,"1483,74"
2015-10-09,"1490,20","1473,99","1483,74",,1,,"1464,49"
2015-10-08,"1464,99","1447,36","1464,49",,1,,"1452,01"
2015-10-07,"1471,64","1452,01","1452,01",,1,,"1457,15"
2015-10-06,"1464,58","1441,35","1457,15",,1,,"1456,97"
